HeadAngle,GlideForce,RotateTime,GlideDistancePlus,GlideTime,EventMin,EventMax,Vx,Vz,VideoHeadDirection
0,185.4497428,0.14,3.14,0.58,3115,3469,0.080456227,0.268115993,178.7849632
-10,128.3791838,0.17,2.08,0.42,2120,2762,-0.241937896,-0.431546646,14.12783557
-20,217.9819295,0.14,4.13,0.72,1568,2119,-0.085793322,0.546788557,154.044198
-30,278.0010384,0.14,3.44,0.44,1237,1567,0.461728383,-0.240484453,331.6732792
-40,201.6751131,0.14,3.35,0.58,985,1236,-0.257498554,-0.191293908,2.428579407
-50,487.7106201,0.17,2.63,0.17,753,984,-0.017210034,-0.608015469,340.0516158
-60,342.6093365,0.17,2.52,0.22,546,752,-0.652861246,0.317470174,91.48419515
-70,245.4425322,0.19,3.13,0.43,396,545,0.762008916,-0.194370959,265.8663931
-80,279.8560456,0.17,3.8,0.5,296,395,-0.770933975,0.327763791,88.89229056
-90,445.7864083,0.14,4.91,0.44,235,295,-0.933164471,0.798607788,157.2930475
-100,259.257873,0.19,4.66,0.71,173,234,0.959822812,-0.487186966,312.9572626
-110,341.4072955,0.17,5.78,0.7,130,172,0.721983202,1.500210201,196.5236351
-120,450.709768,0.17,5.01,0.44,89,131,-0.62915496,0.984017895,185.1310176
-130,324.1917469,0.22,5.72,0.73,59,90,-0.626651933,-0.831049653,8.414346128
-140,552.3756597,0.19,5.11,0.37,37,58,-0.456522875,-1.128065962,353.7675361
-150,105.5030909,0.22,4.74,1.77,17,36,1.025147851,1.152964569,220.1654527
-160,386.8014309,0.19,6.25,0.68,8,16,0.67850871,1.180441519,203.9269158
-170,904.9560839,0.33,4.72,0.21,2,7,-0.049388325,1.462033528,188.1111688
180,102.1666281,0.28,5.58,2.24,0,1,-1.228283431,0.284705488,106.6659786
0,185.4497428,0.14,3.14,0.58,2763,3114,-0.091752011,0.26446353,178.7849632
10,128.3791838,0.17,2.08,0.42,3470,3932,0.008812376,-0.494660282,14.12783557
20,217.9819295,0.14,4.13,0.72,3933,4390,-0.377431503,0.404825494,154.044198
30,278.0010384,0.14,3.44,0.44,4391,4743,-0.052921608,-0.5179046,331.6732792
40,201.6751131,0.14,3.35,0.58,4744,5029,0.240376626,-0.212409845,2.428579407
50,487.7106201,0.17,2.63,0.17,5030,5294,0.40318855,-0.455431651,340.0516158
60,342.6093365,0.17,2.52,0.22,5295,5502,-0.66842547,-0.283235784,91.48419515
70,245.4425322,0.19,3.13,0.43,5503,5630,0.726141707,0.30192032,265.8663931
80,279.8560456,0.17,3.8,0.5,5631,5731,-0.757687467,-0.357320583,88.89229056
90,445.7864083,0.14,4.91,0.44,5732,5816,0.086297397,1.225203284,157.2930475
100,259.257873,0.19,4.66,0.71,5817,5862,0.554331136,-0.922674353,312.9572626
110,341.4072955,0.17,5.78,0.7,5863,5894,0.21292934,1.651227266,196.5236351
120,450.709768,0.17,5.01,0.44,5895,5935,0.794393584,0.856192744,185.1310176
130,324.1917469,0.22,5.72,0.73,5936,5960,0.359217187,-0.97688238,8.414346128
140,552.3756597,0.19,5.11,0.37,5961,5972,0.689245825,-1.002938753,353.7675361
150,105.5030909,0.22,4.74,1.77,5973,5980,0.964404355,1.204234052,220.1654527
160,386.8014309,0.19,6.25,0.68,5981,5981,0.419925284,1.29517528,203.9269158
170,904.9560839,0.33,4.72,0.21,5982,5984,0.455863603,1.390025043,188.1111688
-180,102.1666281,0.28,5.58,2.24,5985,5985,-1.182674556,0.437056401,106.6659786
